id,post,reply,comment,time_comment
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congrats Jeff and Blue Origin team,2021-07-23
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Together Team Blue I together are strong,2021-07-23
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Amazing Excited and happy for everyone one Congratulations,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Memorable and monumental Great job Blue Origin,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Massive fail Laughing stock of the world,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congrats Now pull your finger out and construct and launch New Glen,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Utmost Respect Gratification Appreciation Thank You,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congratulation Blue origin,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Super High Liquidity Product Service Ability to attract funds Great for Investment Attraction likewise Campaign Support Security,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,We went with you in spirit My goosebumps have yet to leave me,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,A Cofounder subsequently Qualifies me as an Agent Responsible Promoter Marketer Associate Planner Investor Stakeholder etc,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Great Day Dearest Blue Origin I m the Genuine US SpaceForce Cofounder Initiator Originator,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Spectacular Congratulations to the team for your brilliance and skills 🇺🇸,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Billionaire race for space blue origin is way too behind space x,2021-07-24
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,I was wondering how much the Stake s Worth hence the Value Creation,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congratulations to Jeff and the whole Blue Origin team I’m looking forward to seeing Blue Origin go orbital,2021-07-22
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Awesome I took this Picture That is so cool I am so glad to be apart of this Historical Moment Thank you,2021-07-22
