id,post,reply,comment,time_comment
0,Our next test spaceflight will be our first commercial research mission Flying aboard VSS Unity will be three Virgin Galactic crew and two Officers and a research specialist from Learn more,106,Did you do any training that was different from the rest of the crew,2021-07-21
1,RT Welcome to the dawn of a new space age,0,Thread we’re counting down the days to Sunday’s spaceflight We asked the crew to answer a few of your questions,2021-07-07
2,Something spectacular is coming to the skies in ONE WEEK Join us LIVE for Virgin Galactic’s first fully crewed test flight including and 3 mission specialists Tune in July 11 at 6 am PT 9 am ET 2 pm BST at,133,Welcome inside the cockpit of Hear spaceflight highlights from our pilots CJ Sturckow and Dave Mackay,2021-05-24
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,LIVE UPDATES and our crew are on target for a rocket powered flight from Spaceport America New Mexico today Stay tuned for more,2021-05-22
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,LIVE UPDATES and our crew are on target for a rocket powered flight from Spaceport America New Mexico today Stay tuned for more,2021-05-22
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,Today we’re celebrating We’re a better Company because of the many inspirational women with us on our mission to open access to space for more people Meet some of the inspirational females at on this thread,2021-03-08
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,Thread Virgin Galactic announces fourth quarter and full year 2020 financial results Key updates below,2021-02-25
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,Virgin Galactic announces two Aerospace Systems and Engineering Leadership appointments Swami Iyer President of Aerospace Systems Stephen Justice Vice President of Engineering Read more,2021-02-25
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,Welcome to the first students awarded scholarships in the Galactic Unite BLAST program 🚀 This is a scholarship mentoring and fellowship program for Black scholars pursuing STEM education with a focus on aerospace in the U S More here,2021-02-23
3,Approximately 10 minutes from release VSS Unity switches to its own battery power for avionics and control systems and performs electrical feather system and flight control checks,81,Congratulations to on the successful landing of on Mars An inspirational moment that’s captured the interest of the world in the pursuit of space exploration Enjoy the Red Planet,2021-02-18
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Announcing the Virgin Galactic Space Advisory Board This group of experts will work with us as we move forward to open space for the benefit of all and will be chaired by our Chief Space Officer More here,2021-02-09
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,The team has completed pre flight checks on SpaceShipTwo Unity’s feather ahead of our upcoming flight The feather gives the vehicle the unique capability to change its shape during flight to ensure a safe aerodynamically controlled re entry into the Earth’s atmosphere,2021-02-06
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,The gift of spaceflight is a shared perspective That’s why we called our spaceship Unity With Valentine’s Day and our flight window approaching we’ve been Making Space For Love inside our spaceship Send someone special a message that’s flown on Unity,2021-02-05
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Our outreach initiative Galactic Unite has awarded scholarships to 106 STEM students around the world The latest 10 have been awarded to physics students where scholars will also receive mentoring from Virgin Galactic staff and our Future Astronaut community,2021-02-03
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Preparation is underway for a rocket powered test flight of SpaceShipTwo Unity from Spaceport America New Mexico The flight window will open on Feb 13th with opportunities to fly throughout the month pending weather conditions and technical readiness,2021-02-01
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Highlights from this week’s VMS Eve flights in New Mexico During a spaceflight VMS Eve acts as a mothership and carries SpaceShipTwo Unity to release altitude These were routine flights for our pilots to complete regular proficiency checks,2021-01-22
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,If Eve Branson hadn t insisted that return to the family home in 1969 to watch the moon landings there would be no Virgin Galactic We thank Eve for that today as we celebrate a wonderful life well lived Our love and best wishes go to the whole Branson family,2021-01-11
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Thread following our test flight on December 12 2020 we have completed the post flight inspections and root cause analysis of what caused the onboard computer to halt ignition of the rocket motor Corrective actions have been defined and work is already underway,2021-01-07
4,The team has loaded three payloads from the Flight Opportunities Program into SpaceShipTwo Unity’s cabin ahead of our flight test window opening this week,32,Thread Happy Holidays from This has been a year unlike any other and we can’t thank our teammates enough for their passion positivity and commitment to our goals throughout,2020-12-24
5,Thread Happy Holidays from This has been a year unlike any other and we can’t thank our teammates enough for their passion positivity and commitment to our goals throughout,114,Thread Yesterday Virgin Galactic filed a final prospectus related to a post effective amendment to a resale registration statement on Form S 3 This is not a new registration and no additional shares are being registered,2020-12-18
5,Thread Happy Holidays from This has been a year unlike any other and we can’t thank our teammates enough for their passion positivity and commitment to our goals throughout,114,Thread our CEO Michael Colglazier on today’s flight test Today’s flight landed beautifully with pilots planes and spaceship safe secure and in excellent shape — the foundation of every successful mission Our flight today did not reach space as we had been planning,2020-12-12
5,Thread Happy Holidays from This has been a year unlike any other and we can’t thank our teammates enough for their passion positivity and commitment to our goals throughout,114,Meet the pilots for today’s flight First up is CJ Sturckow CJ is set to make his sixth flight to space today He s previously flown to space from CA with Virgin Galactic and from FL with NASA,2020-12-12
5,Thread Happy Holidays from This has been a year unlike any other and we can’t thank our teammates enough for their passion positivity and commitment to our goals throughout,114,SpaceShipTwo Unity and the crew are on target to attempt our first rocket powered flight from Spaceport America New Mexico today The weather looks good and we’re targeting an 08 00amMT take off Stay tuned for live updates,2020-12-12
7,Can you spot our mothership VMS Eve flying in the skies above Las Cruces New Mexico in this photo from yesterday It was a fine day for flying with the Organ Mountains looking spectacular in the background,19,It’s a hive of activity here at Spaceport America as preparations to deliver our first spaceflight from New Mexico later this Fall continue to progress well Here’s a flight test update from our President of Space Missions and Safety Mike Moses,2020-11-02
7,Can you spot our mothership VMS Eve flying in the skies above Las Cruces New Mexico in this photo from yesterday It was a fine day for flying with the Organ Mountains looking spectacular in the background,19,Welcome to the newest members of the Virgin Galactic Pilot Corps Jameel Janjua and Patrick Moran,2020-10-27
