id,post,reply,comment,time_comment
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,I’m confused isn’t starlink a separate company or is it still spaceX,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Are they going to put the falcon 9 on the new launcher in Bocha Rita TX and land it with load in tact at Vandenberg,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,I made an enquiry via your online form no response I’m hoping for a quote to organise my eventual send off cremation whilst adhering to Elon’s circular energy output recycle energy goals How much to be shot into the Sun with 100kg of nuclear waste,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Are the west coast launches for polar orbits,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Falcon 9 has become so reliable that static fire tests are now seem irrelevent,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Mr Musk I have worked with a process that stops corrosion reduces friction makes the metal stronger without adding any extra weight Your stainless steel rocket will last longer base1941@gmail com,2021-09-02
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Will it be day night Headed northward up the coast or southward,2021-09-02
1,Landing in the dark through clouds,2412,Daddydoge to Mars 🚀 E GOD ❤️,2021-09-01
1,Landing in the dark through clouds,2412,Is this posted somewhere other that Twitter AKA potato video central,2021-09-01
1,Landing in the dark through clouds,2412,Good evening Mister Elon I own three Tesla cars from three years ago but the Tesla company in Jordan did not operate the autopilot system you must return my money for three years or you must operate the system in Jordan,2021-09-01
1,Landing in the dark through clouds,2412,What keeps it stable on the platform after it lands,2021-09-01
1,Landing in the dark through clouds,2412,Falcon 9 landing never old🚀🚢😍,2021-09-01
1,Landing in the dark through clouds,2412,At about t 2 07 something seemed to come off the vehicle I don t see it in the webcast footage but it was visible through my telescope I don t recall ever seeing something come off that late in the first stage burn before Any ideas what it could be,2021-09-01
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,I have what may seem like a silly question Why does the ship need to land upright Seems like it would be technically much easier to land a long cylinder in a horizontal position And “falling over” would never be a concern Seriously just asking,2021-09-01
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,But it’s dirty How are they going to reuse it,2021-08-31
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,It s so very beautiful and exciting But with likely non terrestrial craft buzzing around kind of takes the wind out of SpaceX s solar sail,2021-09-02
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,,2021-09-01
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,Amazing,2021-08-31
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,What keeps it stable on the platform after it lands,2021-08-31
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,look at those tiny humans,2021-09-01
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station cool now if only you can get a clear video of the falcon landing sigh,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station ➖➖➖➖🟥 ➖➖➖🟥🟥🟥 ➖➖➖🟥🟥🟥 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖🟦⬜⬜🟦⬜⬜🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖➖🎛🎛🎛🎛🎛 ➖➖➖🎛🎛🎛 ➖🟥🟧🟨🟨🟨🟧🟥 ➖🟥🟧🟧🟨🟧🟥 ➖🟥🟧🟥🟧🟥🟥 ➖➖🟥🟥🟧🟥 ➖➖🟥➖🟥🟥,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station 🔥🔥🔥,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Quite intriguing how completely masculine rockets are their structure their engineering and even their performance which compares to absolute strength in every degree yet they are so delicately beautiful in my mind 🖤,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Wow These are some incredible shots Would love to this more often for other launches,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Wow 😍 I m in love 🚀🐉💕,2021-08-30
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Doesn’t this release like loads of pollution straight into the atmosphere Shouldn’t we be fighting this,2021-08-30
7,Dragon is go for final approach and autonomous docking with the station →,84,Station “Science can amuse and fascinate us all but it is engineering that changes the world ” Isaac Asimov,2021-08-30
7,Dragon is go for final approach and autonomous docking with the station →,84,Station Meanwhile is just trying to get their limp d¡ck into actual space,2021-08-30
7,Dragon is go for final approach and autonomous docking with the station →,84,Station People give Falcon and Dragon a hard time but honestly I’m glad they have been as reliable as they are,2021-08-30
7,Dragon is go for final approach and autonomous docking with the station →,84,Station a while ago tweeted that docking with other spaceX rockets would be easier than with the iss so why not launch an interface module to make docking easier automated for future launches,2021-08-30
7,Dragon is go for final approach and autonomous docking with the station →,84,Station So you like dragons Check out these dragon NFTs hatching next week on an open sea near you … for more info on what they’ll look like after hatching Guard your ether treasure today,2021-08-30
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station is this part going to land back on earth or is it space debris now,2021-08-29
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Have a nice trip 🐉🍀,2021-08-29
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station With NFT auction platform You will be able to buy and sell your NFT anytime you like when the platform finally launch Stay tuned and watch out for,2021-09-01
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Good job as usual It is almost boring that you guys are so consistently successful but I know it is not Hey I dare you spend some more time matching this than filing your frivolous law suits,2021-08-31
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station While complains and whines and the incredible team just continue to get to work and do it right Actions speak very loudly Well done,2021-08-29
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Why’s the trunk empty Could have let me stowaway,2021-08-29
