entity,type,time,sentiment,score,company,channel
spacex,PERSON,2021-09-02,1 star,1,spacex,tweet
vandenberg,GPE,2021-09-02,1 star,1,spacex,tweet
bocha rita tx,PERSON,2021-09-02,1 star,1,spacex,tweet
sun,FAC,2021-09-02,1 star,1,spacex,tweet
elon,ORG,2021-09-02,1 star,1,spacex,tweet
falcon 9,ORG,2021-09-02,5 stars,5,spacex,tweet
musk,PERSON,2021-09-02,5 stars,5,spacex,tweet
daddydoge,PERSON,2021-09-01,5 stars,5,spacex,tweet
mars,LOC,2021-09-01,5 stars,5,spacex,tweet
twitter,PRODUCT,2021-09-01,1 star,1,spacex,tweet
elon,PERSON,2021-09-01,1 star,1,spacex,tweet
jordan,GPE,2021-09-01,1 star,1,spacex,tweet
tesla,ORG,2021-09-01,1 star,1,spacex,tweet
falcon,ORG,2021-09-01,1 star,1,spacex,tweet
first,ORDINAL,2021-09-01,2 stars,2,spacex,tweet
spacex,ORG,2021-09-02,4 stars,4,spacex,tweet
isaac asimov,PERSON,2021-08-30,4 stars,4,spacex,tweet
spacex,ORG,2021-08-30,3 stars,3,spacex,tweet
nft,ORG,2021-09-01,5 stars,5,spacex,tweet
falcon,ORG,2021-08-29,1 star,1,spacex,tweet
first,ORDINAL,2021-08-29,4 stars,4,spacex,tweet
falcon 9 s,ORG,2021-08-29,5 stars,5,spacex,tweet
asog,ORG,2021-08-29,5 stars,5,spacex,tweet
sd,ORG,2021-08-29,3 stars,3,spacex,tweet
don,PERSON,2021-08-30,1 star,1,spacex,tweet
florida,GPE,2021-08-29,5 stars,5,spacex,tweet
vero beach,GPE,2021-08-29,5 stars,5,spacex,tweet
outer space shack,FAC,2021-08-29,5 stars,5,spacex,tweet
england,GPE,2021-08-29,1 star,1,spacex,tweet
america,GPE,2021-08-29,1 star,1,spacex,tweet
clement geo,PERSON,2021-08-30,5 stars,5,spacex,tweet
spacex,PERSON,2021-08-30,5 stars,5,spacex,tweet
india,GPE,2021-08-30,5 stars,5,spacex,tweet
station,ORG,2021-08-29,4 stars,4,spacex,tweet
sci fi,ORG,2021-08-29,5 stars,5,spacex,tweet
jupiter,LOC,2021-08-29,3 stars,3,spacex,tweet
asog,GPE,2021-08-29,5 stars,5,spacex,tweet
first,ORDINAL,2021-08-29,5 stars,5,spacex,tweet
falcon 9,PRODUCT,2021-08-29,5 stars,5,spacex,tweet
80th,ORDINAL,2021-08-29,5 stars,5,spacex,tweet
titusville,GPE,2021-08-29,5 stars,5,spacex,tweet
fl,GPE,2021-08-29,5 stars,5,spacex,tweet
crs,ORG,2021-08-29,1 star,1,spacex,tweet
falcon,ORG,2021-08-29,1 star,1,spacex,tweet
the millennium falcon,ORG,2021-08-29,1 star,1,spacex,tweet
first,ORDINAL,2021-08-29,4 stars,4,spacex,tweet
bezos,PERSON,2021-08-28,3 stars,3,spacex,tweet
starlink,ORG,2021-08-28,1 star,1,spacex,tweet
texas,GPE,2021-08-28,1 star,1,spacex,tweet
david wayne,PERSON,2021-08-28,4 stars,4,spacex,tweet
raytheon aircraft 4 textron s,PRODUCT,2021-08-28,4 stars,4,spacex,tweet
station,ORG,2021-08-28,4 stars,4,spacex,tweet
iss,ORG,2021-08-28,1 star,1,spacex,tweet
santa claus,PERSON,2021-08-28,1 star,1,spacex,tweet
bezos,PRODUCT,2021-08-28,1 star,1,spacex,tweet
iss,ORG,2021-08-28,3 stars,3,spacex,tweet
falcon 9,ORG,2021-08-28,3 stars,3,spacex,tweet
iss,ORG,2021-08-28,4 stars,4,spacex,tweet
goodspeed spacex,PERSON,2021-08-28,4 stars,4,spacex,tweet
usdt,ORG,2021-08-26,5 stars,5,spacex,tweet
germany,GPE,2021-08-26,5 stars,5,spacex,tweet
elon,PERSON,2021-08-26,5 stars,5,spacex,tweet
earth mars,LOC,2021-08-26,5 stars,5,spacex,tweet
