post,reply,comment,sentiment,score,time_comment,company,channel
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,I’m confused isn’t starlink a separate company or is it still spaceX,1 star,1,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,Are they going to put the falcon 9 on the new launcher in Bocha Rita TX and land it with load in tact at Vandenberg,1 star,1,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,I made an enquiry via your online form no response I’m hoping for a quote to organise my eventual send off cremation whilst adhering to Elon’s circular energy output recycle energy goals How much to be shot into the Sun with 100kg of nuclear waste,1 star,1,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,Are the west coast launches for polar orbits,4 stars,4,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,Falcon 9 has become so reliable that static fire tests are now seem irrelevent,5 stars,5,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,Mr Musk I have worked with a process that stops corrosion reduces friction makes the metal stronger without adding any extra weight Your stainless steel rocket will last longer base1941@gmail com,5 stars,5,2021-09-02,spacex,tweet
Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155.0,Will it be day night Headed northward up the coast or southward,3 stars,3,2021-09-02,spacex,tweet
Landing in the dark through clouds,2412.0,Daddydoge to Mars 🚀 E GOD ❤️,5 stars,5,2021-09-01,spacex,tweet
Landing in the dark through clouds,2412.0,Is this posted somewhere other that Twitter AKA potato video central,1 star,1,2021-09-01,spacex,tweet
Landing in the dark through clouds,2412.0,Good evening Mister Elon I own three Tesla cars from three years ago but the Tesla company in Jordan did not operate the autopilot system you must return my money for three years or you must operate the system in Jordan,1 star,1,2021-09-01,spacex,tweet
Landing in the dark through clouds,2412.0,What keeps it stable on the platform after it lands,5 stars,5,2021-09-01,spacex,tweet
Landing in the dark through clouds,2412.0,Falcon 9 landing never old🚀🚢😍,1 star,1,2021-09-01,spacex,tweet
Landing in the dark through clouds,2412.0,At about t 2 07 something seemed to come off the vehicle I don t see it in the webcast footage but it was visible through my telescope I don t recall ever seeing something come off that late in the first stage burn before Any ideas what it could be,2 stars,2,2021-09-01,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,I have what may seem like a silly question Why does the ship need to land upright Seems like it would be technically much easier to land a long cylinder in a horizontal position And “falling over” would never be a concern Seriously just asking,2 stars,2,2021-09-01,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,But it’s dirty How are they going to reuse it,3 stars,3,2021-08-31,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,It s so very beautiful and exciting But with likely non terrestrial craft buzzing around kind of takes the wind out of SpaceX s solar sail,4 stars,4,2021-09-02,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,,2 stars,2,2021-09-01,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,Amazing,5 stars,5,2021-08-31,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,What keeps it stable on the platform after it lands,5 stars,5,2021-08-31,spacex,tweet
A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220.0,look at those tiny humans,1 star,1,2021-09-01,spacex,tweet
More photos of Falcon 9’s launch of Dragon to the Station →,264.0,Station cool now if only you can get a clear video of the falcon landing sigh,4 stars,4,2021-08-30,spacex,tweet
