id,post,reply,comment,time_comment,sentiment_results,sentiment,confidence,score,entity_post,entity_comment
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,I’m confused isn’t starlink a separate company or is it still spaceX,2021-09-02,"{'sentiment': '1 star', 'confidence': 0.42452889680862427, 'score': 1}",1 star,0.42452889680862427,1,"Falcon,ORG|West Coast,LOC","spaceX,PERSON"
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Are they going to put the falcon 9 on the new launcher in Bocha Rita TX and land it with load in tact at Vandenberg,2021-09-02,"{'sentiment': '1 star', 'confidence': 0.28229767084121704, 'score': 1}",1 star,0.28229767084121704,1,"Falcon,ORG|West Coast,LOC","Vandenberg,GPE|Bocha Rita TX,PERSON"
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,I made an enquiry via your online form no response I’m hoping for a quote to organise my eventual send off cremation whilst adhering to Elon’s circular energy output recycle energy goals How much to be shot into the Sun with 100kg of nuclear waste,2021-09-02,"{'sentiment': '1 star', 'confidence': 0.5917978882789612, 'score': 1}",1 star,0.5917978882789612,1,"Falcon,ORG|West Coast,LOC","Sun,FAC|Elon,ORG"
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Are the west coast launches for polar orbits,2021-09-02,"{'sentiment': '4 stars', 'confidence': 0.33282580971717834, 'score': 4}",4 stars,0.33282580971717834,4,"Falcon,ORG|West Coast,LOC",
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Falcon 9 has become so reliable that static fire tests are now seem irrelevent,2021-09-02,"{'sentiment': '5 stars', 'confidence': 0.3498763144016266, 'score': 5}",5 stars,0.3498763144016266,5,"Falcon,ORG|West Coast,LOC","Falcon 9,ORG"
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Mr Musk I have worked with a process that stops corrosion reduces friction makes the metal stronger without adding any extra weight Your stainless steel rocket will last longer base1941@gmail com,2021-09-02,"{'sentiment': '5 stars', 'confidence': 0.4225931167602539, 'score': 5}",5 stars,0.4225931167602539,5,"Falcon,ORG|West Coast,LOC","Musk,PERSON"
0,Static fire test of Falcon 9 complete – targeting later this month for first West Coast Starlink mission will announce a target date closer to launch,155,Will it be day night Headed northward up the coast or southward,2021-09-02,"{'sentiment': '3 stars', 'confidence': 0.30661043524742126, 'score': 3}",3 stars,0.30661043524742126,3,"Falcon,ORG|West Coast,LOC",
1,Landing in the dark through clouds,2412,Daddydoge to Mars 🚀 E GOD ❤️,2021-09-01,"{'sentiment': '5 stars', 'confidence': 0.6101023554801941, 'score': 5}",5 stars,0.6101023554801941,5,,"Daddydoge,PERSON|Mars,LOC"
1,Landing in the dark through clouds,2412,Is this posted somewhere other that Twitter AKA potato video central,2021-09-01,"{'sentiment': '1 star', 'confidence': 0.4522177577018738, 'score': 1}",1 star,0.4522177577018738,1,,"Twitter,PRODUCT"
1,Landing in the dark through clouds,2412,Good evening Mister Elon I own three Tesla cars from three years ago but the Tesla company in Jordan did not operate the autopilot system you must return my money for three years or you must operate the system in Jordan,2021-09-01,"{'sentiment': '1 star', 'confidence': 0.44962260127067566, 'score': 1}",1 star,0.44962260127067566,1,,"Elon,PERSON|Jordan,GPE|Tesla,ORG"
1,Landing in the dark through clouds,2412,What keeps it stable on the platform after it lands,2021-09-01,"{'sentiment': '5 stars', 'confidence': 0.4142768085002899, 'score': 5}",5 stars,0.4142768085002899,5,,
1,Landing in the dark through clouds,2412,Falcon 9 landing never old🚀🚢😍,2021-09-01,"{'sentiment': '1 star', 'confidence': 0.5942580103874207, 'score': 1}",1 star,0.5942580103874207,1,,"🚀,PRODUCT|Falcon,ORG"
1,Landing in the dark through clouds,2412,At about t 2 07 something seemed to come off the vehicle I don t see it in the webcast footage but it was visible through my telescope I don t recall ever seeing something come off that late in the first stage burn before Any ideas what it could be,2021-09-01,"{'sentiment': '2 stars', 'confidence': 0.32362934947013855, 'score': 2}",2 stars,0.32362934947013855,2,,"first,ORDINAL"
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,I have what may seem like a silly question Why does the ship need to land upright Seems like it would be technically much easier to land a long cylinder in a horizontal position And “falling over” would never be a concern Seriously just asking,2021-09-01,"{'sentiment': '2 stars', 'confidence': 0.37817060947418213, 'score': 2}",2 stars,0.37817060947418213,2,"first,ORDINAL|Falcon 9,ORG",
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,But it’s dirty How are they going to reuse it,2021-08-31,"{'sentiment': '3 stars', 'confidence': 0.36454877257347107, 'score': 3}",3 stars,0.36454877257347107,3,"first,ORDINAL|Falcon 9,ORG",
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,It s so very beautiful and exciting But with likely non terrestrial craft buzzing around kind of takes the wind out of SpaceX s solar sail,2021-09-02,"{'sentiment': '4 stars', 'confidence': 0.5693807601928711, 'score': 4}",4 stars,0.5693807601928711,4,"first,ORDINAL|Falcon 9,ORG","SpaceX,ORG"
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,,2021-09-01,"{'sentiment': '2 stars', 'confidence': 0.26056772470474243, 'score': 2}",2 stars,0.26056772470474243,2,"first,ORDINAL|Falcon 9,ORG",
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,Amazing,2021-08-31,"{'sentiment': '5 stars', 'confidence': 0.8426642417907715, 'score': 5}",5 stars,0.8426642417907715,5,"first,ORDINAL|Falcon 9,ORG",
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,What keeps it stable on the platform after it lands,2021-08-31,"{'sentiment': '5 stars', 'confidence': 0.4142768085002899, 'score': 5}",5 stars,0.4142768085002899,5,"first,ORDINAL|Falcon 9,ORG",
2,A Shortfall of Gravitas returns to port with Falcon 9 after its first mission,1220,look at those tiny humans,2021-09-01,"{'sentiment': '1 star', 'confidence': 0.21545788645744324, 'score': 1}",1 star,0.21545788645744324,1,"first,ORDINAL|Falcon 9,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station cool now if only you can get a clear video of the falcon landing sigh,2021-08-30,"{'sentiment': '4 stars', 'confidence': 0.43159979581832886, 'score': 4}",4 stars,0.43159979581832886,4,"Falcon 9’s,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station ➖➖➖➖🟥 ➖➖➖🟥🟥🟥 ➖➖➖🟥🟥🟥 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖🟦⬜⬜🟦⬜⬜🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 🟦🟦⬜⬜🟦⬜⬜🟦🟦 ➖➖⬜⬜⬜⬜⬜ ➖➖⬜⬜⬜⬜⬜ ➖➖🎛🎛🎛🎛🎛 ➖➖➖🎛🎛🎛 ➖🟥🟧🟨🟨🟨🟧🟥 ➖🟥🟧🟧🟨🟧🟥 ➖🟥🟧🟥🟧🟥🟥 ➖➖🟥🟥🟧🟥 ➖➖🟥➖🟥🟥,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.45206916332244873, 'score': 5}",5 stars,0.45206916332244873,5,"Falcon 9’s,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station 🔥🔥🔥,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.3175329267978668, 'score': 5}",5 stars,0.3175329267978668,5,"Falcon 9’s,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Quite intriguing how completely masculine rockets are their structure their engineering and even their performance which compares to absolute strength in every degree yet they are so delicately beautiful in my mind 🖤,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.5382401943206787, 'score': 5}",5 stars,0.5382401943206787,5,"Falcon 9’s,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Wow These are some incredible shots Would love to this more often for other launches,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.699673056602478, 'score': 5}",5 stars,0.699673056602478,5,"Falcon 9’s,ORG",
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Wow 😍 I m in love 🚀🐉💕,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.7997457385063171, 'score': 5}",5 stars,0.7997457385063171,5,"Falcon 9’s,ORG","🚀,PRODUCT"
5,More photos of Falcon 9’s launch of Dragon to the Station →,264,Station Doesn’t this release like loads of pollution straight into the atmosphere Shouldn’t we be fighting this,2021-08-30,"{'sentiment': '1 star', 'confidence': 0.6422929763793945, 'score': 1}",1 star,0.6422929763793945,1,"Falcon 9’s,ORG",
7,Dragon is go for final approach and autonomous docking with the station →,84,Station “Science can amuse and fascinate us all but it is engineering that changes the world ” Isaac Asimov,2021-08-30,"{'sentiment': '4 stars', 'confidence': 0.40680116415023804, 'score': 4}",4 stars,0.40680116415023804,4,,"Isaac Asimov,PERSON"
7,Dragon is go for final approach and autonomous docking with the station →,84,Station Meanwhile is just trying to get their limp d¡ck into actual space,2021-08-30,"{'sentiment': '3 stars', 'confidence': 0.3146960139274597, 'score': 3}",3 stars,0.3146960139274597,3,,
7,Dragon is go for final approach and autonomous docking with the station →,84,Station People give Falcon and Dragon a hard time but honestly I’m glad they have been as reliable as they are,2021-08-30,"{'sentiment': '4 stars', 'confidence': 0.45041078329086304, 'score': 4}",4 stars,0.45041078329086304,4,,
7,Dragon is go for final approach and autonomous docking with the station →,84,Station a while ago tweeted that docking with other spaceX rockets would be easier than with the iss so why not launch an interface module to make docking easier automated for future launches,2021-08-30,"{'sentiment': '3 stars', 'confidence': 0.29774245619773865, 'score': 3}",3 stars,0.29774245619773865,3,,"spaceX,ORG"
7,Dragon is go for final approach and autonomous docking with the station →,84,Station So you like dragons Check out these dragon NFTs hatching next week on an open sea near you … for more info on what they’ll look like after hatching Guard your ether treasure today,2021-08-30,"{'sentiment': '5 stars', 'confidence': 0.4390393793582916, 'score': 5}",5 stars,0.4390393793582916,5,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station is this part going to land back on earth or is it space debris now,2021-08-29,"{'sentiment': '1 star', 'confidence': 0.4820859134197235, 'score': 1}",1 star,0.4820859134197235,1,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Have a nice trip 🐉🍀,2021-08-29,"{'sentiment': '4 stars', 'confidence': 0.49156373739242554, 'score': 4}",4 stars,0.49156373739242554,4,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station With NFT auction platform You will be able to buy and sell your NFT anytime you like when the platform finally launch Stay tuned and watch out for,2021-09-01,"{'sentiment': '5 stars', 'confidence': 0.443509966135025, 'score': 5}",5 stars,0.443509966135025,5,,"NFT,ORG"
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Good job as usual It is almost boring that you guys are so consistently successful but I know it is not Hey I dare you spend some more time matching this than filing your frivolous law suits,2021-08-31,"{'sentiment': '3 stars', 'confidence': 0.5326282978057861, 'score': 3}",3 stars,0.5326282978057861,3,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station While complains and whines and the incredible team just continue to get to work and do it right Actions speak very loudly Well done,2021-08-29,"{'sentiment': '5 stars', 'confidence': 0.6150075197219849, 'score': 5}",5 stars,0.6150075197219849,5,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Why’s the trunk empty Could have let me stowaway,2021-08-29,"{'sentiment': '1 star', 'confidence': 0.36925646662712097, 'score': 1}",1 star,0.36925646662712097,1,,
9,Dragon separation confirmed autonomous docking to the station Monday at 11 00 a m EDT,199,Station Orbital sunshine,2021-08-29,"{'sentiment': '4 stars', 'confidence': 0.3611152172088623, 'score': 4}",4 stars,0.3611152172088623,4,,
10,Falcon 9’s first stage booster has landed on A Shortfall of Gravitas – first landing on this droneship,205,I got a feeling it won’t land in 1 piece,2021-08-29,"{'sentiment': '1 star', 'confidence': 0.46688011288642883, 'score': 1}",1 star,0.46688011288642883,1,"first,ORDINAL|Falcon 9’s,ORG|A Shortfall of Gravitas,WORK_OF_ART",
